0,1,2,3,4,5,6,7,8,9,10
yogurt,berries,onions,pip fruit,,,,,,,
pip fruit,waffles,cat food,,,,,,,,
specialty chocolate,root vegetables,,,,,,,,,
canned beer,newspapers,,,,,,,,,
sausage,other vegetables,hard cheese,,,,,,,,
beef,butter,,,,,,,,,
soda,chocolate,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
oil,herbs,,,,,,,,,
frankfurter,margarine,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
ham,sausage,curd,other vegetables,,,,,,,
beverages,pork,,,,,,,,,
pip fruit,other vegetables,semi-finished bread,sliced cheese,,,,,,,
rolls/buns,whole milk,,,,,,,,,
sausage,yogurt,,,,,,,,,
bottled water,sauces,,,,,,,,,
chocolate,citrus fruit,bottled beer,bottled water,red/blush wine,,,,,,
meat,whole milk,,,,,,,,,
root vegetables,white bread,,,,,,,,,
whole milk,butter,,,,,,,,,
beef,pastry,yogurt,chewing gum,,,,,,,
newspapers,shopping bags,,,,,,,,,
citrus fruit,cream cheese ,bottled beer,citrus fruit,,,,,,,
specialty bar,rolls/buns,processed cheese,,,,,,,,
bottled water,specialty bar,,,,,,,,,
whole milk,newspapers,bottled water,,,,,,,,
sausage,oil,whole milk,,,,,,,,
tropical fruit,frozen meals,yogurt,other vegetables,,,,,,,
coffee,root vegetables,whipped/sour cream,,,,,,,,
pork,bottled water,,,,,,,,,
ice cream,bottled water,,,,,,,,,
whole milk,white wine,,,,,,,,,
other vegetables,newspapers,chewing gum,dessert,,,,,,,
sausage,pork,pip fruit,other vegetables,hard cheese,,,,,,
candy,whole milk,,,,,,,,,
dessert,jam,,,,,,,,,
root vegetables,chewing gum,margarine,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
ice cream,yogurt,,,,,,,,,
butter,canned beer,domestic eggs,specialty chocolate,specialty chocolate,soda,root vegetables,canned fish,,,
other vegetables,cooking chocolate,,,,,,,,,
chicken,soda,shopping bags,,,,,,,,
root vegetables,pastry,,,,,,,,,
curd,butter milk,,,,,,,,,
tropical fruit,UHT-milk,butter milk,,,,,,,,
frozen vegetables,yogurt,shopping bags,,,,,,,,
soda,whole milk,,,,,,,,,
citrus fruit,domestic eggs,flour,,,,,,,,
yogurt,whole milk,shopping bags,,,,,,,,
beef,citrus fruit,whole milk,yogurt,,,,,,,
onions,chicken,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
pip fruit,rolls/buns,shopping bags,,,,,,,,
turkey,frozen potato products,butter,frozen dessert,,,,,,,
butter,specialty bar,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
butter,long life bakery product,,,,,,,,,
beef,whole milk,detergent,,,,,,,,
ham,napkins,,,,,,,,,
frankfurter,napkins,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
specialty bar,yogurt,napkins,other vegetables,chocolate,,,,,,
oil,butter,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
sausage,pastry,dish cleaner,,,,,,,,
canned vegetables,pasta,,,,,,,,,
pet care,sliced cheese,,,,,,,,,
specialty chocolate,candles,,,,,,,,,
cat food,soda,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
brown bread,frozen meals,herbs,whole milk,hard cheese,,,,,,
soda,newspapers,long life bakery product,,,,,,,,
brown bread,male cosmetics,,,,,,,,,
curd,frozen meals,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
herbs,whole milk,other vegetables,shopping bags,,,,,,,
whole milk,pastry,,,,,,,,,
butter milk,canned beer,,,,,,,,,
soda,root vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
frozen vegetables,red/blush wine,,,,,,,,,
sausage,ketchup,,,,,,,,,
citrus fruit,berries,,,,,,,,,
candy,whipped/sour cream,,,,,,,,,
soda,whisky,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
whole milk,turkey,pork,dog food,rolls/buns,soda,bottled water,bottled water,,,
sausage,other vegetables,chicken,waffles,root vegetables,bottled beer,butter,whipped/sour cream,,,
other vegetables,curd,,,,,,,,,
cereals,cream cheese ,other vegetables,,,,,,,,
nuts/prunes,butter,brown bread,,,,,,,,
canned beer,sliced cheese,margarine,,,,,,,,
soda,nut snack,,,,,,,,,
chicken,hygiene articles,,,,,,,,,
pip fruit,curd,specialty bar,beverages,sausage,soft cheese,rolls/buns,yogurt,other vegetables,curd,newspapers
hard cheese,whole milk,,,,,,,,,
ham,white wine,,,,,,,,,
butter milk,oil,,,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
beverages,whole milk,pasta,,,,,,,,
soda,pastry,,,,,,,,,
other vegetables,long life bakery product,pastry,,,,,,,,
rolls/buns,soda,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
pip fruit,pastry,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
pip fruit,cat food,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
frozen potato products,chewing gum,,,,,,,,,
soda,ice cream,,,,,,,,,
ketchup,rolls/buns,,,,,,,,,
frozen vegetables,brown bread,rolls/buns,,,,,,,,
pork,dessert,,,,,,,,,
tropical fruit,whole milk,other vegetables,long life bakery product,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
yogurt,newspapers,,,,,,,,,
curd,dessert,,,,,,,,,
dessert,soda,,,,,,,,,
sausage,butter milk,beverages,,,,,,,,
ham,whole milk,,,,,,,,,
sausage,frozen meals,soda,,,,,,,,
long life bakery product,napkins,,,,,,,,,
fruit/vegetable juice,female sanitary products,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
newspapers,yogurt,napkins,,,,,,,,
yogurt,napkins,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
chicken,margarine,yogurt,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
herbs,sausage,candy,whole milk,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
sugar,seasonal products,,,,,,,,,
curd,yogurt,detergent,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
ham,chicken,canned beer,other vegetables,napkins,,,,,,
ham,tropical fruit,,,,,,,,,
soap,brown bread,,,,,,,,,
yogurt,coffee,,,,,,,,,
yogurt,coffee,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
turkey,yogurt,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
berries,specialty bar,,,,,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
tropical fruit,condensed milk,pastry,,,,,,,,
frankfurter,dessert,,,,,,,,,
canned beer,brown bread,,,,,,,,,
cat food,coffee,,,,,,,,,
bottled water,newspapers,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
pip fruit,seasonal products,,,,,,,,,
chewing gum,coffee,sugar,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
tropical fruit,whole milk,soda,curd,,,,,,,
root vegetables,red/blush wine,salty snack,,,,,,,,
ham,other vegetables,,,,,,,,,
chocolate,whipped/sour cream,,,,,,,,,
whole milk,ice cream,,,,,,,,,
root vegetables,dog food,,,,,,,,,
pork,soda,,,,,,,,,
soda,soda,,,,,,,,,
long life bakery product,whole milk,,,,,,,,,
meat,yogurt,,,,,,,,,
other vegetables,waffles,,,,,,,,,
butter,citrus fruit,,,,,,,,,
specialty chocolate,bottled water,,,,,,,,,
chicken,yogurt,,,,,,,,,
coffee,hard cheese,domestic eggs,,,,,,,,
other vegetables,soda,,,,,,,,,
cookware,cream cheese ,,,,,,,,,
rolls/buns,yogurt,hard cheese,,,,,,,,
rolls/buns,semi-finished bread,fruit/vegetable juice,,,,,,,,
sausage,misc. beverages,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
sausage,margarine,,,,,,,,,
frankfurter,beef,red/blush wine,whole milk,frozen dessert,,,,,,
whole milk,candy,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
canned beer,rolls/buns,berries,domestic eggs,,,,,,,
red/blush wine,liquor (appetizer),sauces,coffee,,,,,,,
chocolate,bottled water,,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,rolls/buns,,,,,,,
root vegetables,processed cheese,,,,,,,,,
sausage,rolls/buns,soda,,,,,,,,
butter,misc. beverages,shopping bags,,,,,,,,
soda,whole milk,shopping bags,,,,,,,,
beef,frankfurter,canned beer,pip fruit,brown bread,frozen vegetables,newspapers,misc. beverages,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,soda,,,,,,,,,
sausage,fish,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
pork,tropical fruit,dessert,meat spreads,whole milk,,,,,,
sausage,white wine,hygiene articles,,,,,,,,
finished products,domestic eggs,margarine,,,,,,,,
pasta,brown bread,beef,long life bakery product,citrus fruit,whipped/sour cream,specialty cheese,frozen vegetables,,,
whipped/sour cream,pork,pastry,soda,,,,,,,
ice cream,grapes,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
meat,coffee,,,,,,,,,
pet care,frozen vegetables,spices,,,,,,,,
beef,whole milk,fruit/vegetable juice,hygiene articles,,,,,,,
sausage,frozen meals,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
frozen potato products,whole milk,,,,,,,,,
yogurt,chicken,bottled water,whole milk,flour,detergent,,,,,
dessert,hamburger meat,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
pork,domestic eggs,,,,,,,,,
pip fruit,tropical fruit,rolls/buns,pip fruit,rolls/buns,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
pet care,brown bread,pastry,dish cleaner,,,,,,,
curd,coffee,,,,,,,,,
canned beer,sausage,butter,other vegetables,salty snack,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
long life bakery product,whipped/sour cream,bottled beer,,,,,,,,
soda,beverages,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
beef,other vegetables,,,,,,,,,
dessert,frozen meals,,,,,,,,,
canned beer,ham,bottled water,domestic eggs,,,,,,,
brown bread,whole milk,,,,,,,,,
red/blush wine,pastry,,,,,,,,,
citrus fruit,jam,,,,,,,,,
newspapers,specialty chocolate,,,,,,,,,
onions,soda,rolls/buns,,,,,,,,
soda,root vegetables,,,,,,,,,
yogurt,whole milk,,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
canned beer,yogurt,,,,,,,,,
pork,sausage,frankfurter,other vegetables,pork,curd,flower soil/fertilizer,curd,margarine,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
bottled water,beverages,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
dessert,newspapers,bottled water,,,,,,,,
frankfurter,white wine,,,,,,,,,
oil,chocolate,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
canned beer,sugar,hygiene articles,whole milk,,,,,,,
pork,sugar,,,,,,,,,
tropical fruit,other vegetables,hygiene articles,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
salt,frozen vegetables,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
pork,berries,,,,,,,,,
coffee,root vegetables,,,,,,,,,
sausage,butter,bottled water,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
frankfurter,newspapers,,,,,,,,,
pork,margarine,,,,,,,,,
cream cheese ,citrus fruit,sauces,red/blush wine,,,,,,,
pork,finished products,citrus fruit,misc. beverages,,,,,,,
berries,soda,,,,,,,,,
artif. sweetener,sugar,,,,,,,,,
citrus fruit,herbs,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
beef,flour,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
canned fish,canned fish,,,,,,,,,
brown bread,detergent,,,,,,,,,
chicken,salty snack,coffee,,,,,,,,
pastry,cream cheese ,,,,,,,,,
soda,sliced cheese,,,,,,,,,
rolls/buns,instant coffee,,,,,,,,,
whole milk,coffee,,,,,,,,,
sausage,spread cheese,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
hamburger meat,sausage,tropical fruit,other vegetables,white bread,bottled water,spread cheese,sugar,,,
other vegetables,UHT-milk,,,,,,,,,
pork,yogurt,,,,,,,,,
seasonal products,herbs,spread cheese,pickled vegetables,,,,,,,
other vegetables,ready soups,baking powder,,,,,,,,
bottled beer,candy,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
beef,berries,,,,,,,,,
onions,pork,,,,,,,,,
specialty bar,bottled water,,,,,,,,,
berries,other vegetables,fruit/vegetable juice,whole milk,specialty bar,,,,,,
sausage,oil,,,,,,,,,
sausage,honey,beverages,soda,frozen dessert,whipped/sour cream,,,,,
citrus fruit,yogurt,coffee,,,,,,,,
sausage,yogurt,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
dishes,butter milk,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
chicken,yogurt,,,,,,,,,
newspapers,cake bar,,,,,,,,,
pork,beef,beef,bottled water,salty snack,flour,instant coffee,,,,
ice cream,other vegetables,misc. beverages,,,,,,,,
frankfurter,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
soda,rolls/buns,,,,,,,,,
root vegetables,pastry,,,,,,,,,
tropical fruit,other vegetables,soft cheese,,,,,,,,
specialty bar,waffles,,,,,,,,,
hard cheese,sugar,bottled water,,,,,,,,
pip fruit,frozen meals,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,curd,tropical fruit,brown bread,bottled beer,,,,,,
rolls/buns,hard cheese,,,,,,,,,
pork,root vegetables,,,,,,,,,
frozen meals,pastry,,,,,,,,,
pip fruit,candles,,,,,,,,,
soda,detergent,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
herbs,vinegar,shopping bags,,,,,,,,
other vegetables,roll products ,,,,,,,,,
long life bakery product,ketchup,,,,,,,,,
fish,chocolate,,,,,,,,,
beef,white wine,UHT-milk,butter milk,,,,,,,
tropical fruit,packaged fruit/vegetables,,,,,,,,,
curd cheese,sausage,bottled water,napkins,,,,,,,
whipped/sour cream,seasonal products,,,,,,,,,
butter milk,pet care,,,,,,,,,
bottled beer,red/blush wine,,,,,,,,,
soft cheese,bottled beer,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
pastry,hard cheese,,,,,,,,,
onions,coffee,,,,,,,,,
whipped/sour cream,ice cream,,,,,,,,,
meat,tropical fruit,whipped/sour cream,,,,,,,,
pork,sugar,,,,,,,,,
soda,white wine,,,,,,,,,
grapes,chicken,,,,,,,,,
sausage,root vegetables,salty snack,coffee,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
beverages,root vegetables,candles,,,,,,,,
whole milk,candy,,,,,,,,,
bottled water,soda,,,,,,,,,
brown bread,sausage,yogurt,butter milk,canned beer,frozen vegetables,curd,cake bar,,,
whole milk,ham,other vegetables,rum,canned beer,,,,,,
root vegetables,other vegetables,,,,,,,,,
newspapers,dishes,,,,,,,,,
chicken,whole milk,soda,,,,,,,,
whole milk,waffles,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,frozen dessert,chewing gum,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
canned beer,organic sausage,tropical fruit,shopping bags,,,,,,,
tropical fruit,napkins,,,,,,,,,
pork,other vegetables,,,,,,,,,
pork,rolls/buns,,,,,,,,,
pot plants,citrus fruit,whipped/sour cream,,,,,,,,
brown bread,rolls/buns,cat food,pastry,,,,,,,
pip fruit,fruit/vegetable juice,whipped/sour cream,soda,,,,,,,
roll products ,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
root vegetables,newspapers,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
abrasive cleaner,yogurt,frozen meals,,,,,,,,
fruit/vegetable juice,cream cheese ,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
other vegetables,soda,UHT-milk,salty snack,,,,,,,
white wine,specialty cheese,,,,,,,,,
whole milk,butter,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
hamburger meat,pastry,flour,,,,,,,,
root vegetables,grapes,brandy,pickled vegetables,pastry,,,,,,
bottled beer,margarine,,,,,,,,,
flower (seeds),shopping bags,,,,,,,,,
coffee,frozen potato products,,,,,,,,,
sweet spreads,soda,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
rolls/buns,soda,,,,,,,,,
soda,curd,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
sausage,frozen meals,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
whole milk,sugar,,,,,,,,,
soft cheese,specialty cheese,,,,,,,,,
frankfurter,coffee,,,,,,,,,
shopping bags,soda,,,,,,,,,
chocolate,sugar,coffee,,,,,,,,
beverages,whole milk,,,,,,,,,
brown bread,pastry,,,,,,,,,
finished products,yogurt,bottled beer,bottled water,,,,,,,
beef,frankfurter,root vegetables,specialty fat,domestic eggs,,,,,,
ham,citrus fruit,sugar,ice cream,whole milk,chocolate marshmallow,specialty bar,candy,,,
frankfurter,UHT-milk,fruit/vegetable juice,,,,,,,,
domestic eggs,whole milk,rice,,,,,,,,
citrus fruit,butter,,,,,,,,,
sugar,napkins,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
ice cream,hamburger meat,shopping bags,whole milk,soft cheese,,,,,,
tropical fruit,yogurt,,,,,,,,,
chicken,finished products,rolls/buns,butter,rolls/buns,herbs,white bread,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
other vegetables,sugar,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
beef,butter,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
tea,yogurt,shopping bags,brown bread,,,,,,,
baking powder,domestic eggs,,,,,,,,,
other vegetables,vinegar,,,,,,,,,
female sanitary products,domestic eggs,,,,,,,,,
citrus fruit,salt,,,,,,,,,
beef,cat food,,,,,,,,,
sugar,whole milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
other vegetables,margarine,soda,salty snack,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
domestic eggs,brown bread,detergent,,,,,,,,
soda,newspapers,,,,,,,,,
other vegetables,pork,,,,,,,,,
butter,whole milk,,,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
whole milk,soft cheese,,,,,,,,,
soft cheese,specialty chocolate,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
frozen fish,bottled water,,,,,,,,,
specialty fat,brandy,,,,,,,,,
canned beer,coffee,,,,,,,,,
tropical fruit,soda,,,,,,,,,
frankfurter,flour,,,,,,,,,
frankfurter,prosecco,,,,,,,,,
flour,sugar,,,,,,,,,
tropical fruit,shopping bags,cream cheese ,pasta,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
pork,napkins,,,,,,,,,
packaged fruit/vegetables,popcorn,,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
salty snack,whole milk,domestic eggs,shopping bags,,,,,,,
frankfurter,whole milk,,,,,,,,,
cream cheese ,mustard,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
newspapers,zwieback,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
other vegetables,coffee,,,,,,,,,
chicken,shopping bags,,,,,,,,,
berries,pip fruit,,,,,,,,,
other vegetables,specialty bar,long life bakery product,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
misc. beverages,berries,,,,,,,,,
domestic eggs,frozen fish,,,,,,,,,
butter,pastry,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
UHT-milk,pastry,,,,,,,,,
yogurt,yogurt,,,,,,,,,
margarine,berries,,,,,,,,,
whipped/sour cream,tropical fruit,specialty chocolate,flour,,,,,,,
sausage,fruit/vegetable juice,coffee,,,,,,,,
whole milk,bottled water,chicken,citrus fruit,canned vegetables,,,,,,
chocolate,whipped/sour cream,,,,,,,,,
rolls/buns,rum,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
cat food,newspapers,,,,,,,,,
chicken,pip fruit,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
whole milk,bottled water,waffles,,,,,,,,
waffles,whole milk,,,,,,,,,
other vegetables,meat spreads,,,,,,,,,
citrus fruit,chicken,bottled water,rolls/buns,,,,,,,
salty snack,tropical fruit,,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
long life bakery product,sweet spreads,,,,,,,,,
pickled vegetables,liquor,,,,,,,,,
tropical fruit,popcorn,,,,,,,,,
turkey,bottled water,other vegetables,newspapers,,,,,,,
other vegetables,bottled beer,,,,,,,,,
beef,yogurt,,,,,,,,,
whole milk,margarine,,,,,,,,,
citrus fruit,specialty bar,domestic eggs,,,,,,,,
pip fruit,candles,,,,,,,,,
soda,napkins,,,,,,,,,
white bread,specialty bar,newspapers,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
skin care,frankfurter,root vegetables,fruit/vegetable juice,,,,,,,
other vegetables,rolls/buns,rolls/buns,whole milk,newspapers,,,,,,
white wine,chocolate marshmallow,,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
yogurt,whole milk,yogurt,chewing gum,,,,,,,
frankfurter,napkins,,,,,,,,,
baking powder,brown bread,,,,,,,,,
other vegetables,roll products ,,,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
citrus fruit,cat food,,,,,,,,,
other vegetables,margarine,bottled water,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
frozen fish,curd,,,,,,,,,
domestic eggs,whole milk,bottled beer,,,,,,,,
root vegetables,UHT-milk,UHT-milk,spread cheese,shopping bags,,,,,,
liqueur,yogurt,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
bottled beer,white wine,candles,,,,,,,,
pip fruit,brown bread,oil,,,,,,,,
pot plants,herbs,,,,,,,,,
beef,margarine,,,,,,,,,
chewing gum,hamburger meat,candy,coffee,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
rolls/buns,yogurt,newspapers,margarine,,,,,,,
sausage,UHT-milk,,,,,,,,,
cake bar,shopping bags,,,,,,,,,
shopping bags,butter,,,,,,,,,
dessert,onions,,,,,,,,,
curd,long life bakery product,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
ham,tidbits,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pork,grapes,hygiene articles,,,,,,,,
yogurt,waffles,domestic eggs,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
yogurt,napkins,rolls/buns,liquor (appetizer),,,,,,,
canned beer,canned beer,,,,,,,,,
citrus fruit,butter,,,,,,,,,
dishes,chewing gum,,,,,,,,,
white bread,meat,domestic eggs,roll products ,,,,,,,
yogurt,domestic eggs,,,,,,,,,
whipped/sour cream,red/blush wine,,,,,,,,,
whole milk,bottled water,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
hamburger meat,cookware,pastry,,,,,,,,
liquor,fruit/vegetable juice,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
fruit/vegetable juice,root vegetables,pastry,,,,,,,,
frankfurter,pork,tropical fruit,pastry,,,,,,,
citrus fruit,beef,coffee,,,,,,,,
chicken,long life bakery product,,,,,,,,,
yogurt,domestic eggs,frozen vegetables,fruit/vegetable juice,,,,,,,
rolls/buns,soda,,,,,,,,,
canned beer,frozen dessert,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
grapes,whipped/sour cream,,,,,,,,,
margarine,canned fish,,,,,,,,,
yogurt,salty snack,,,,,,,,,
beef,liquor,specialty cheese,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
coffee,other vegetables,margarine,domestic eggs,,,,,,,
citrus fruit,ice cream,,,,,,,,,
root vegetables,shopping bags,frozen vegetables,,,,,,,,
pastry,waffles,napkins,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
baking powder,beef,,,,,,,,,
chocolate marshmallow,whole milk,whole milk,,,,,,,,
other vegetables,ice cream,,,,,,,,,
whole milk,onions,,,,,,,,,
domestic eggs,curd cheese,,,,,,,,,
nuts/prunes,vinegar,,,,,,,,,
rolls/buns,specialty chocolate,,,,,,,,,
liquor,sweet spreads,,,,,,,,,
sausage,berries,,,,,,,,,
yogurt,rolls/buns,domestic eggs,fruit/vegetable juice,,,,,,,
pip fruit,rolls/buns,fruit/vegetable juice,pasta,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
white bread,root vegetables,,,,,,,,,
pastry,bottled water,candles,,,,,,,,
whole milk,soda,hygiene articles,canned beer,,,,,,,
beef,butter,,,,,,,,,
pastry,root vegetables,,,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
canned fish,yogurt,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
meat,domestic eggs,,,,,,,,,
herbs,onions,brown bread,,,,,,,,
ham,whole milk,,,,,,,,,
newspapers,white bread,,,,,,,,,
flour,seasonal products,,,,,,,,,
coffee,butter,,,,,,,,,
sausage,salad dressing,,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
meat,beef,whole milk,other vegetables,grapes,whipped/sour cream,coffee,whole milk,,,
soda,cling film/bags,,,,,,,,,
whole milk,yogurt,,,,,,,,,
newspapers,whole milk,,,,,,,,,
frozen vegetables,tropical fruit,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
whipped/sour cream,beef,,,,,,,,,
sausage,curd cheese,,,,,,,,,
organic sausage,salty snack,white bread,,,,,,,,
root vegetables,pasta,pip fruit,red/blush wine,,,,,,,
ham,mayonnaise,,,,,,,,,
long life bakery product,hard cheese,,,,,,,,,
bottled water,shopping bags,waffles,,,,,,,,
canned beer,soda,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
frankfurter,sausage,yogurt,soda,coffee,,,,,,
sausage,bottled water,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
rolls/buns,napkins,bottled beer,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
dessert,herbs,detergent,artif. sweetener,,,,,,,
Instant food products,whipped/sour cream,butter,cake bar,,,,,,,
canned beer,red/blush wine,,,,,,,,,
cream cheese ,UHT-milk,,,,,,,,,
pork,yogurt,,,,,,,,,
other vegetables,chewing gum,soft cheese,,,,,,,,
ice cream,shopping bags,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
semi-finished bread,napkins,,,,,,,,,
hamburger meat,white wine,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
chewing gum,cake bar,,,,,,,,,
meat,bottled water,abrasive cleaner,,,,,,,,
tropical fruit,frozen fish,domestic eggs,mustard,,,,,,,
soda,shopping bags,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
yogurt,soda,,,,,,,,,
